# unikraft-mainline KVM
# recvbuf-size  tx
16      .936
32      1.750
64      2.982
128     3.052
256     3.072
512     3.088
1024    3.086
2048    3.094
4096    3.100
8192    3.096
16384   3.100
32768   3.122
65536   3.100
131072  3.132
262144  3.108
524288  3.112
1048576 3.114


## flexos-nompk KVM
## recvbuf-size  tx
#16      .968
#32      1.810
#64      2.972
#128     3.056
#256     3.064
#512     3.088
#1024    3.106
#2048    3.090
#4096    3.094
#8192    3.098
#16384   3.110
#32768   3.122
#65536   3.108
#131072  3.104
#262144  3.102
#524288  3.112
#1048576 3.130


# flexos-mpk2-isolstack KVM
# recvbuf-size  tx
16      .664
32      1.204
64      2.192
128     3.014
256     3.076
512     3.092
1024    3.078
2048    3.090
4096    3.098
8192    3.102
16384   3.118
32768   3.146
65536   3.148
131072  3.124
262144  3.138
524288  3.134
1048576 3.130


# flexos-ept2 KVM
# recvbuf-size  tx
16      .200
32      .332
64      .590
128     1.086
256     1.900
512     2.830
1024    2.882
2048    2.882
4096    2.918
8192    2.940
16384   2.928
32768   2.938
65536   2.932
131072  2.932
262144  2.910
524288  2.956
1048576 2.954
